V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	target
0.566	0.016	-0.143	0.407	0.452	-0.901	-1.812	-2.36	-0.436	-2.114	-0.94	-0.307	-0.073	0.55	-0.484	0.0	-1.707	-1.162	-0.573	-0.991	0.61	-0.4	-0.063	0.356	0.8	-0.223	0.796	0.168	-0.45	0.136	0.109	-0.615	0.327	-4.627	-4.789	-5.101	-2.608	-3.508	0.175
0.968	0.437	0.066	0.566	0.194	-0.893	-1.566	-2.36	0.332	-2.114	0.188	-0.455	-0.134	1.109	-0.488	0.0	-0.977	-1.162	-0.571	-0.836	0.588	-0.802	-0.063	0.357	0.801	-0.144	1.057	0.338	0.671	-0.128	0.124	0.032	0.6	-0.843	0.16	0.364	-0.335	-0.73	0.676
1.013	0.568	0.235	0.37	0.112	-0.797	-1.367	-2.36	0.396	-2.114	0.874	-0.051	-0.072	0.767	-0.493	-0.212	-0.618	-0.897	-0.564	-0.558	0.576	-0.477	-0.063	0.355	0.961	-0.067	0.915	0.326	1.287	-0.009	0.361	0.277	-0.116	-0.843	0.16	0.364	0.765	-0.589	0.633
0.733	0.368	0.283	0.165	0.599	-0.679	-1.2	-2.086	0.403	-2.114	0.011	0.102	-0.014	0.769	-0.371	-0.162	-0.429	-0.897	-0.574	-0.564	0.272	-0.491	-0.063	0.352	1.435	0.113	0.898	0.277	1.298	0.015	0.417	0.279	0.603	-0.843	-0.065	0.364	0.333	-0.112	0.206
0.684	0.638	0.26	0.209	0.337	-0.454	-1.073	-2.086	0.314	-2.114	-0.251	0.57	0.199	-0.349	-0.342	-0.138	-0.391	-0.897	-0.572	-0.394	0.106	0.309	-0.259	0.352	0.881	0.221	0.386	0.332	1.289	0.183	1.078	0.328	0.418	-0.843	-0.215	0.364	-0.28	-0.028	0.384
0.445	0.627	0.408	0.22	0.458	-1.056	-1.009	-1.896	0.481	-2.114	-0.511	-0.564	0.294	0.912	-0.345	0.111	-0.333	-1.029	-0.573	-0.516	0.029	-0.56	-0.096	0.349	0.798	0.245	0.643	0.356	1.296	0.454	0.674	0.358	0.618	-0.843	-0.29	0.364	-0.191	-0.883	0.06
0.889	0.416	0.64	0.356	0.224	-0.893	-0.812	-1.823	0.729	-2.114	-0.256	-0.278	0.425	0.632	-0.3	0.111	-0.333	-1.428	-0.586	-0.544	0.156	-0.34	-0.063	0.352	0.801	0.389	0.5	0.401	2.15	0.454	0.081	0.243	0.468	-0.843	-0.29	0.364	-0.155	-1.318	0.415
0.984	0.529	0.704	0.438	0.258	-0.917	-0.682	-1.721	0.753	-2.114	-0.067	-0.24	0.272	0.78	-0.387	0.244	0.065	-1.162	-0.579	-0.465	0.254	-0.442	-0.259	0.366	0.798	0.56	0.423	0.409	2.153	0.139	-0.05	0.428	-0.119	-0.843	-0.29	0.364	0.1	-0.899	0.609
0.948	0.85	0.584	0.459	0.591	-0.523	-0.591	-1.524	0.763	-2.114	0.205	0.422	0.387	-0.288	-0.264	0.293	0.166	-1.162	-0.566	-0.173	0.25	0.31	-0.259	0.366	0.798	0.577	-0.035	0.49	0.511	0.188	0.467	0.597	-0.057	-0.843	-0.29	0.364	0.053	-0.553	0.981
1.157	1.055	0.638	0.617	1.483	-0.731	-0.612	-1.524	0.968	-2.114	0.145	0.179	0.688	-0.14	-0.289	0.317	0.195	-0.897	-0.567	-0.557	0.263	0.241	-0.259	0.358	-0.612	0.493	-0.172	0.512	0.511	0.86	0.456	0.916	0.039	-0.843	-0.29	0.364	0.151	-1.157	0.818
1.116	1.112	0.612	0.639	0.919	-0.895	-0.656	-1.418	0.891	-2.114	0.122	-0.275	1.083	0.429	-0.256	1.017	0.161	-0.963	-0.575	-0.381	0.22	-0.173	-0.259	0.367	-1.312	0.317	-0.335	0.521	0.042	0.86	-0.097	0.795	-0.452	-0.843	-0.29	0.364	-0.054	-0.426	0.877
